symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held
ARM,2024-07-01,158.83,232.0424,2024-08-01,121.51,-8659.82,-23.5,22
NVDA,2024-02-01,63.027,296.5028,2024-08-01,109.21,13693.39,73.27,125
INSM,2024-06-03,55.94,102.5793,2024-08-01,75.33,1989.01,34.66,41
MSTR,2024-08-01,151.181,225.7057,2024-09-03,122.32,-6514.09,-19.09,22
ALNY,2024-08-01,268.61,4.9525,2024-09-03,253.78,-73.45,-5.52,22
INSM,2024-06-03,55.94,30.3607,2024-09-03,73.31,527.36,31.05,63
ALNY,2024-08-01,268.61,122.0808,2024-10-01,276.06,909.5,2.77,42
PLTR,2024-09-03,30.51,87.7252,2024-10-01,36.46,521.97,19.5,20
INSM,2024-06-03,55.94,464.1217,2024-11-01,68.32,5745.83,22.13,106
PLTR,2024-09-03,30.51,30.1657,2024-11-01,41.92,344.19,37.4,43
APP,2024-10-01,130.65,28.8126,2024-11-01,163.53,947.36,25.17,23
APP,2024-10-01,130.65,34.1649,2024-12-02,340.59,7172.58,160.69,43
PLTR,2024-09-03,30.51,139.9268,2025-01-02,75.19,6251.93,146.44,84
APP,2024-10-01,130.65,5.5864,2025-01-02,341.78,1179.45,161.6,64
MSTR,2024-11-01,229.71,8.1981,2025-02-03,347.09,962.3,51.1,61
PLTR,2024-09-03,30.51,0.4079,2025-02-03,83.74,21.71,174.47,104
MSTR,2024-11-01,229.71,208.6374,2025-03-03,250.92,4425.2,9.23,80
PLTR,2024-09-03,30.51,100.2322,2025-03-03,83.42,5303.29,173.42,123
APP,2024-10-01,130.65,9.0999,2025-03-03,337.34,1880.87,158.2,103
PLTR,2024-09-03,30.51,764.539,2025-04-01,84.68,41415.08,177.55,144
GILD,2025-03-03,115.99,549.8564,2025-04-01,111.28,-2589.82,-4.06,21
APP,2024-10-01,130.65,189.061,2025-04-01,282.7,28746.73,116.38,124
ZS,2025-06-02,293.18,2.8954,2025-07-01,307.32,40.94,4.82,20
PLTR,2025-06-02,132.04,452.2144,2025-07-01,130.68,-615.01,-1.03,20
AVGO,2025-06-02,248.71,240.0804,2025-07-01,264.74,3848.48,6.45,20
ZS,2025-06-02,293.18,200.7692,2025-08-01,280.27,-2591.93,-4.4,42
WDC,2025-07-01,63.84,113.3909,2025-08-01,76.55,1441.2,19.91,22
STX,2025-07-01,145.04,425.4026,2025-08-01,154.81,4156.19,6.74,22
WDC,2025-07-01,63.84,853.0938,2025-09-02,81.91,15415.41,28.31,43
PLTR,2025-08-01,154.27,423.3119,2025-09-02,157.09,1193.74,1.83,21
AMD,2025-08-01,171.7,380.3398,2025-09-02,162.32,-3567.58,-5.46,21
LITE,2025-09-02,132.555,497.6617,2025-10-01,171.4,19331.67,29.3,21
ALNY,2025-09-02,447.0,147.5784,2025-10-01,460.65,2014.44,3.05,21
INSM,2025-09-02,145.3,454.0092,2025-10-01,147.28,898.94,1.36,21
STX,2025-10-01,256.84,285.3019,2025-11-03,265.55,2484.98,3.39,23
SNDK,2025-10-01,121.12,139.1259,2025-11-03,207.01,11949.53,70.91,23
MU,2025-11-03,234.7,410.9053,2025-12-01,240.46,2366.82,2.45,19
WDC,2025-10-01,130.59,6.2487,2025-12-01,163.54,205.89,25.23,42
WDC,2025-10-01,130.59,604.0504,2026-01-02,187.7,34497.32,43.73,64
SNDK,2025-10-01,121.12,30.9437,2026-01-02,275.24,4769.04,127.25,64
SNDK,2025-10-01,121.12,142.3618,2026-02-02,665.24,77461.93,449.24,84
LITE,2025-12-01,317.93,153.4955,2026-03-02,783.25,71424.52,146.36,61
MU,2026-01-02,315.42,593.4933,2026-04-01,367.85,31116.85,16.62,61
LITE,2025-12-01,317.93,312.6931,2026-04-01,764.65,139686.29,140.51,83
SNDK,2025-10-01,121.12,395.6143,2026-04-01,692.73,226137.08,471.94,125
