symbol,entry_date,entry_px,shares,exit_date,exit_px,pnl,ret_pct,bars_held,cap_tag,pnl_pct
AMD,2025-10-06,206.0904,87.6326,2025-10-27,259.001,4636.69,25.67,15,mega,25.67
MU,2025-09-29,163.5143,177.7961,2025-11-03,234.0983,12549.56,43.17,24,mega,43.17
LRCX,2025-10-27,156.7645,7802.976,2025-11-03,160.7585,31165.09,2.55,4,mega,2.55
INTC,2025-11-03,39.221,32130.1545,2025-11-10,38.3124,-29193.46,-2.32,5,mega,-2.32
MU,2025-09-29,163.5143,409.9489,2025-11-10,252.6404,36537.14,54.51,29,mega,54.51
MU,2025-09-29,163.5143,69.5755,2025-11-17,241.3374,5414.58,47.59,34,mega,47.59
LRCX,2025-11-10,166.2502,7557.4123,2025-11-17,146.7795,-147148.11,-11.71,5,mega,-11.71
AMD,2025-10-06,206.0904,247.2593,2025-11-17,240.5885,8529.98,16.74,29,mega,16.74
GOOGL,2025-11-17,284.6823,518.582,2025-11-24,320.5384,18594.33,12.6,4,mega,12.6
AMD,2025-10-06,206.0904,4918.8489,2025-11-24,215.8257,47886.47,4.72,33,mega,4.72
GOOG,2025-11-24,320.4086,3639.8714,2025-12-01,314.857,-20207.11,-1.73,5,mega,-1.73
MU,2025-09-29,163.5143,265.6213,2025-12-01,240.0394,20326.7,46.8,43,mega,46.8
INTC,2025-12-01,39.8601,45.8281,2025-12-08,40.4692,27.91,1.53,5,mega,1.53
MU,2025-09-29,163.5143,89.1828,2025-12-08,247.8376,7520.18,51.57,48,mega,51.57
GOOGL,2025-11-17,284.6823,3736.9648,2025-12-08,313.3293,107052.83,10.06,14,mega,10.06
AMAT,2025-12-08,266.4995,4476.2708,2025-12-15,260.6384,-26235.87,-2.2,4,mega,-2.2
MU,2025-09-29,163.5143,19.1677,2025-12-15,237.3734,1415.71,45.17,52,mega,45.17
INTC,2025-12-01,39.8601,30311.5952,2025-12-22,36.3953,-105023.62,-8.69,14,mega,-8.69
MU,2025-09-29,163.5143,405.4909,2025-12-22,276.2949,45731.51,68.97,57,mega,68.97
GOOG,2025-12-22,310.6832,3902.9059,2025-12-29,313.7287,11886.3,0.98,4,mega,0.98
MU,2025-09-29,163.5143,171.062,2025-12-29,295.1167,22512.17,80.48,61,mega,80.48
LRCX,2025-12-15,164.0535,320.1629,2026-01-05,194.338,9695.97,18.46,13,mega,18.46
MU,2025-09-29,163.5143,41.3267,2026-01-12,345.451,7518.84,111.27,70,mega,111.27
LRCX,2025-12-15,164.0535,213.8644,2026-01-12,219.6999,11900.78,33.92,18,mega,33.92
MU,2025-09-29,163.5143,188.8291,2026-01-20,366.1998,38272.93,123.96,75,mega,123.96
GOOGL,2025-12-29,312.86,4351.7483,2026-01-20,320.0991,31502.74,2.31,14,mega,2.31
INTC,2026-01-20,48.6269,30039.1435,2026-01-26,42.2964,-190162.8,-13.02,4,mega,-13.02
MU,2025-09-29,163.5143,314.919,2026-01-26,388.3665,70810.23,137.51,79,mega,137.51
