date,action,symbol,price,shares
2023-04-25,SELL,FTNT,65.0123,3268.3556
2023-04-26,BUY,CPRT,38.3624,5529.9359
2023-05-02,SELL,BKNG,107.2429,1990.6363
2023-05-02,SELL,CPRT,38.9864,5529.9359
2023-05-03,BUY,AMD,83.185,2574.8869
2023-05-03,BUY,CCEP,65.4018,3275.0164
2023-05-09,SELL,AXON,221.4074,1182.2728
2023-05-10,BUY,FTNT,67.1391,3892.5672
2023-05-16,SELL,CCEP,65.8211,3275.0164
2023-05-16,SELL,FTNT,68.2375,3892.5672
2023-05-17,BUY,APP,24.5032,9803.0249
2023-05-17,BUY,CPRT,40.609,5915.0799
2023-05-23,SELL,AMD,107.3288,2574.8869
2023-05-23,SELL,APP,24.7728,9803.0249
2023-05-23,SELL,CPRT,44.1936,5915.0799
2023-05-24,BUY,META,244.9021,1060.7811
2023-05-24,BUY,NVDA,30.1317,8621.735
2023-05-24,BUY,SHOP,57.264,4536.6641
2023-05-31,SELL,SHOP,58.1526,4536.6641
2023-06-01,BUY,PLTR,14.3584,18344.3169
2023-07-05,SELL,META,286.9689,1060.7811
2023-07-06,BUY,TSLA,277.8326,1093.9052
2023-07-25,SELL,TSLA,272.3109,1093.9052
2023-07-26,BUY,META,300.3188,990.2946
2023-08-22,SELL,PLTR,14.7778,18344.3169
2023-08-23,BUY,ADBE,520.2884,520.1985
2023-08-29,SELL,META,288.6963,990.2946
2023-08-30,BUY,PLTR,15.5167,18395.3627
2023-09-06,SELL,PLTR,15.1273,18395.3627
2023-09-07,BUY,SHOP,64.3334,4318.5234
2023-09-12,SELL,SHOP,63.4647,4318.5234
2023-09-13,BUY,PLTR,15.5466,17600.8661
2023-09-19,SELL,ADBE,529.6144,520.1985
2023-09-20,BUY,CHTR,449.315,612.1811
2023-09-26,SELL,NVDA,41.9979,8621.735
2023-09-27,BUY,PDD,94.1286,3840.638
2023-09-27,SELL,PLTR,14.1887,17600.8661
2023-09-27,SELL,CHTR,428.0869,612.1811
2023-09-27,SELL,PDD,94.1286,3840.638
2023-10-04,BUY,PLTR,15.3569,18925.5173
2023-10-04,BUY,PDD,97.4037,2983.8423
2023-10-04,BUY,NVDA,43.6604,6656.7708
2023-10-17,SELL,NVDA,43.8142,6656.7708
2023-10-18,BUY,CRWD,185.721,1567.9046
2023-10-26,SELL,PLTR,15.5367,18925.5173
2023-10-26,SELL,PDD,107.838,2983.8423
2023-10-26,SELL,CRWD,175.8458,1567.9046
2023-11-01,BUY,PDD,101.6273,2919.4577
2023-11-01,BUY,PLTR,14.8177,20023.1213
2023-11-01,BUY,CRWD,178.0425,1666.437
2023-11-21,SELL,CRWD,206.8493,1666.437
2023-11-22,BUY,INTC,43.9939,7822.6354
2023-12-06,SELL,PLTR,17.6335,20023.1213
2023-12-06,SELL,INTC,42.4063,7822.6354
2023-12-07,BUY,CRWD,237.8926,1437.0096
2023-12-07,BUY,ZS,197.1638,1733.8576
2024-01-03,SELL,ZS,206.35,1733.8576
2024-01-04,BUY,INTC,45.3619,7874.6158
2024-01-09,SELL,INTC,47.958,7874.6158
2024-01-10,BUY,AMD,149.785,2517.2418
2024-01-30,SELL,PDD,125.3217,2919.4577
2024-01-31,BUY,NVDA,61.3119,5957.8072
2024-02-13,SELL,AMD,166.3102,2517.2418
2024-02-14,BUY,META,468.1867,892.7458
2024-02-21,SELL,NVDA,67.8002,5957.8072
2024-02-22,BUY,PANW,136.4101,2956.4727
2024-02-27,SELL,PANW,157.723,2956.4727
2024-02-28,BUY,NVDA,77.5725,6001.5631
2024-03-05,SELL,META,493.4287,892.7458
2024-03-06,BUY,AMD,209.8048,2096.2349
2024-03-19,SELL,CRWD,316.5245,1437.0096
2024-03-20,BUY,META,498.7208,910.5688
2024-03-26,SELL,AMD,179.3106,2096.2349
2024-03-26,SELL,META,504.7418,910.5688
2024-03-27,BUY,MSTR,195.2098,2136.5207
2024-03-27,BUY,MU,118.8814,3508.2846
2024-04-02,SELL,MU,122.0866,3508.2846
2024-04-03,BUY,ARM,122.8255,3481.588
2024-04-16,SELL,MSTR,130.1565,2136.5207
2024-04-17,BUY,MU,122.1465,2272.9713
2024-04-23,SELL,ARM,96.8745,3481.588
2024-04-24,BUY,META,507.7073,663.2481
2024-04-30,SELL,META,430.9826,663.2481
2024-05-01,BUY,ARM,99.6203,2864.7714
2024-05-21,SELL,ARM,109.3358,2864.7714
2024-05-22,BUY,QCOM,202.5557,1543.8683
2024-05-29,SELL,QCOM,208.337,1543.8683
2024-05-30,BUY,ARM,120.8784,2656.6257
2024-07-02,SELL,MU,129.5454,2272.9713
2024-07-03,BUY,CRWD,382.9647,767.6431
2024-07-09,SELL,CRWD,391.3121,767.6431
2024-07-10,BUY,AVGO,174.3481,1720.1553
2024-07-16,SELL,AVGO,171.9117,1720.1553
2024-07-17,BUY,PLTR,27.8681,10594.1942
2024-07-23,SELL,PLTR,28.4273,10594.1942
2024-07-24,BUY,ALNY,230.6535,1303.6042
2024-07-26,SELL,NVDA,115.7262,6001.5631
2024-07-26,SELL,ARM,154.8873,2656.6257
2024-07-26,SELL,ALNY,235.8956,1303.6042
2024-07-31,BUY,ARM,142.2863,3306.1612
2024-07-31,BUY,NVDA,113.7092,4137.057
2024-07-31,BUY,TSLA,227.2586,2069.983
2024-08-02,SELL,ARM,113.5993,3306.1612
2024-08-02,SELL,NVDA,103.5744,4137.057
2024-08-02,SELL,TSLA,213.8987,2069.983
2024-08-21,BUY,NVDA,127.0292,3266.5406
2024-08-21,BUY,PLTR,32.2715,12857.9719
2024-08-21,BUY,MELI,2006.6555,206.7849
2024-08-27,SELL,MELI,1997.0,206.7849
2024-08-28,BUY,MSTR,136.8944,3011.7173
2024-09-04,SELL,NVDA,104.9024,3266.5406
2024-09-04,SELL,PLTR,29.9151,12857.9719
2024-09-04,SELL,MSTR,120.1295,3011.7173
2024-09-18,BUY,PLTR,35.966,10077.7066
2024-09-18,BUY,MELI,2073.8845,174.771
2024-09-18,BUY,WMT,78.4422,4620.6607
2024-09-24,SELL,MELI,2109.491,174.771
2024-09-24,SELL,WMT,80.1796,4620.6607
2024-09-25,BUY,APP,127.9578,2883.6648
2024-09-25,BUY,TSLA,252.0314,1464.0533
2024-10-08,SELL,TSLA,243.1647,1464.0533
2024-10-09,BUY,MSTR,188.9661,1880.9454
2024-12-31,SELL,MSTR,315.0666,1880.9454
2025-01-02,BUY,TSLA,389.5946,1518.6906
2025-01-07,SELL,TSLA,405.5209,1518.6906
2025-01-08,BUY,MSTR,331.0027,1857.6108
2025-02-25,SELL,MSTR,266.3299,1857.6108
2025-02-26,BUY,SHOP,111.2528,4439.8374
2025-03-04,SELL,SHOP,103.2548,4439.8374
2025-03-05,BUY,TMUS,260.7781,1755.1306
2025-03-05,SELL,PLTR,85.9109,10077.7066
2025-03-05,SELL,APP,321.1774,2883.6648
2025-03-05,SELL,TMUS,260.7781,1755.1306
2025-05-14,BUY,PLTR,128.7166,5816.5247
2025-05-14,BUY,MSTR,419.3799,1785.215
2025-05-14,BUY,APP,371.9412,2012.9076
2025-05-28,SELL,MSTR,368.9058,1785.215
2025-05-29,BUY,AVGO,245.0918,2682.7551
2025-06-10,SELL,APP,387.9272,2012.9076
2025-06-11,BUY,ZS,296.5545,2628.897
2025-06-17,SELL,AVGO,250.4437,2682.7551
2025-06-18,BUY,CRWD,488.616,1372.8633
2025-06-24,SELL,CRWD,491.262,1372.8633
2025-06-25,BUY,AVGO,265.2714,2538.3639
2025-07-01,SELL,AVGO,273.6888,2538.3639
2025-07-02,BUY,CRWD,488.4662,1419.9736
2025-07-08,SELL,ZS,316.2249,2628.897
2025-07-08,SELL,CRWD,506.2395,1419.9736
2025-07-09,BUY,MU,124.8923,6196.0871
2025-07-09,BUY,AVGO,273.2095,2832.4182
2025-07-15,SELL,AVGO,279.2205,2832.4182
2025-07-16,BUY,MSTR,446.5292,1768.3118
2025-07-22,SELL,MU,112.7506,6196.0871
2025-07-22,SELL,MSTR,428.5661,1768.3118
2025-07-23,BUY,AMD,156.4449,4647.3825
2025-07-23,BUY,WBD,12.8806,56446.0729
2025-08-05,SELL,WBD,12.8806,56446.0729
2025-08-06,BUY,NVDA,176.7844,4106.1028
2025-08-26,SELL,PLTR,156.0455,5816.5247
2025-08-27,BUY,SHOP,141.9667,6383.1127
2025-09-03,SELL,NVDA,169.9047,4106.1028
2025-09-03,SELL,SHOP,139.4804,6383.1127
2025-09-04,BUY,PLTR,154.5678,5128.5668
2025-09-04,BUY,GOOGL,231.0928,3430.2725
2025-09-09,SELL,AMD,150.8334,4647.3825
2025-09-09,SELL,PLTR,155.736,5128.5668
2025-09-10,BUY,AVGO,338.6213,2210.8494
2025-09-10,BUY,APP,564.3121,1326.643
2025-09-16,SELL,GOOGL,251.0229,3430.2725
2025-09-17,BUY,WBD,18.1527,47359.2543
2025-09-23,SELL,AVGO,338.6912,2210.8494
2025-09-24,BUY,WDC,110.5738,6761.0603
2025-10-07,SELL,APP,593.8578,1326.643
2025-10-07,SELL,WBD,18.9914,47359.2543
2025-10-08,BUY,SNDK,121.128,6953.6127
2025-10-08,BUY,MU,186.1803,4523.9867
2025-11-11,SELL,MU,252.6205,4523.9867
2025-11-12,BUY,LITE,261.597,4361.7575
2025-12-09,SELL,WDC,169.6551,6761.0603
2025-12-10,BUY,WBD,28.2076,40599.4324
2025-12-23,SELL,WBD,28.7767,40599.4324
2025-12-24,BUY,WDC,177.733,6562.9223
2026-01-06,SELL,WDC,187.658,6562.9223
2026-01-07,BUY,MU,344.2828,3571.5229
2026-01-13,SELL,MU,345.3113,3571.5229
2026-01-14,BUY,WDC,213.6989,5761.9087
2026-01-21,SELL,WDC,222.6854,5761.9087
